angle (deg),case,psnr_bc,psnr_sr_1,psnr_sr_2,psnr_sr_3,scale,shape,slide,ssim_bc,ssim_sr_1,ssim_sr_2,ssim_sr_3,weight
306.0,case01015,16.249557936877125,13.411974483380744,14.353882895108187,15.139262728492508,2.0,"(256, 256)",0.0,0.43681856571210914,0.2025755184408799,0.22228481531204533,0.25900570949934393,t1
306.0,case01015,14.675915748586837,15.552881732744128,15.871530246254068,15.347769844588456,4.0,"(256, 256)",0.0,0.09498530655836054,0.26150213006224987,0.2763107921541347,0.2535017650300829,t1
324.0,case01015,16.249557936877125,14.690391490466862,13.292354067417445,15.962208459742232,2.0,"(256, 256)",0.0,0.43681856571210914,0.22956469538973837,0.20168192989997152,0.30171923839290427,t1
324.0,case01015,14.675915748586837,14.98878341067417,15.406669396417863,14.83281390029768,4.0,"(256, 256)",0.0,0.09498530655836054,0.2534551544188053,0.26850803107246346,0.24684931602824636,t1
342.0,case01015,16.249557936877125,12.600568246120655,11.664433694888213,15.58388236303019,2.0,"(256, 256)",0.0,0.43681856571210914,0.14665483136982405,0.1401197786155841,0.23011540877663875,t1
342.0,case01015,14.675915748586837,15.744774478030992,15.961331690225853,15.306840143982205,4.0,"(256, 256)",0.0,0.09498530655836054,0.2242495468602526,0.23758990080795336,0.2117298873189065,t1
0.0,case01015,15.294431526582217,13.326731155908227,13.477233111857574,15.606175175713703,2.0,"(256, 256)",1.0,0.3134031784846669,0.07196860803929382,0.07388780210674274,0.2669929152977516,t1
0.0,case01015,14.500249145605595,22.40823044145094,21.605468364824162,22.227602748483513,4.0,"(256, 256)",1.0,0.13193102590982345,0.30721269214583247,0.24603133964081408,0.29185049587523487,t1
18.0,case01015,15.294431526582217,10.387095983511735,14.811750658382332,11.823910714464747,2.0,"(256, 256)",1.0,0.3134031784846669,0.1349531754395414,0.25090464265573964,0.14408392010422125,t1
18.0,case01015,14.500249145605595,19.624467575120693,20.05400362417752,19.193505970107353,4.0,"(256, 256)",1.0,0.13193102590982345,0.325426360533826,0.36125179625253157,0.30584557693101266,t1
36.0,case01015,15.294431526582217,12.721443960598048,13.39060894275353,14.478860981949301,2.0,"(256, 256)",1.0,0.3134031784846669,0.20247482374140777,0.21503661565107848,0.26573542836635244,t1
36.0,case01015,14.500249145605595,15.290344199142345,15.591546658486394,14.986414222154519,4.0,"(256, 256)",1.0,0.13193102590982345,0.2688747014271832,0.284867955418643,0.2587514289494024,t1
54.0,case01015,15.294431526582217,13.710432153131586,12.835914149238937,13.125428595949352,2.0,"(256, 256)",1.0,0.3134031784846669,0.21897712158314694,0.20307096348511192,0.20728875129045274,t1
54.0,case01015,14.500249145605595,13.690088922253752,13.94040894325773,13.456776721979246,4.0,"(256, 256)",1.0,0.13193102590982345,0.2422718107780596,0.25405208615005476,0.23500953364386298,t1
72.0,case01015,15.294431526582217,14.092515832065233,11.882720450403406,13.544199504003629,2.0,"(256, 256)",1.0,0.3134031784846669,0.18751172652596707,0.14410591180084303,0.1687637712633206,t1
72.0,case01015,14.500249145605595,17.474993283360924,17.86795063294474,16.9855867050689,4.0,"(256, 256)",1.0,0.13193102590982345,0.26917231637652805,0.29355068766494946,0.2510672822208677,t1
90.0,case01015,15.294431526582217,15.150390852024058,13.4054550204927,13.897368407978096,2.0,"(256, 256)",1.0,0.3134031784846669,0.17937728381318718,0.0700861851174296,0.0774803843002252,t1
90.0,case01015,14.500249145605595,19.875610777478094,19.633496868722244,20.454360584783004,4.0,"(256, 256)",1.0,0.13193102590982345,0.17427475433934322,0.16624140338375568,0.20463013407581238,t1
108.0,case01015,15.294431526582217,14.688289395112601,11.80737418283751,13.288071196041209,2.0,"(256, 256)",1.0,0.3134031784846669,0.22939940874492185,0.14141718049432264,0.1612678062045088,t1
108.0,case01015,14.500249145605595,20.547628928112516,20.96458367264968,19.879265376143394,4.0,"(256, 256)",1.0,0.13193102590982345,0.34816948637932926,0.38551009977886747,0.3200795829034473,t1
126.0,case01015,15.294431526582217,12.376440421036436,13.27715351133641,14.666885458811302,2.0,"(256, 256)",1.0,0.3134031784846669,0.19369623279763595,0.20832247638890616,0.28864920588534143,t1
126.0,case01015,14.500249145605595,13.867363178402073,14.2126169981304,13.674056605953243,4.0,"(256, 256)",1.0,0.13193102590982345,0.24334495786533364,0.2576031344389044,0.23598255604792284,t1
144.0,case01015,15.294431526582217,14.414431726673406,15.039006678950784,14.79902181981241,2.0,"(256, 256)",1.0,0.3134031784846669,0.22635900608304713,0.3051123998084166,0.2791507343893323,t1
144.0,case01015,14.500249145605595,13.42069935436638,13.668370003846919,13.236464262782281,4.0,"(256, 256)",1.0,0.13193102590982345,0.2361494651702154,0.2477005515824983,0.22934354462526074,t1
162.0,case01015,15.294431526582217,10.394613840841371,14.258893484809914,14.749419779486331,2.0,"(256, 256)",1.0,0.3134031784846669,0.12991363170903103,0.2015284642421333,0.2619314533193549,t1
162.0,case01015,14.500249145605595,16.11156181944061,16.445247417224845,15.839796437049788,4.0,"(256, 256)",1.0,0.13193102590982345,0.23884167864651554,0.2587888008137771,0.22697351810363622,t1
180.0,case01015,15.294431526582217,16.314447808308692,13.25693863915003,13.681946701253416,2.0,"(256, 256)",1.0,0.3134031784846669,0.11631148006355886,0.07364071175930817,0.08235301923486743,t1
180.0,case01015,14.500249145605595,21.046150136011597,20.931410711123117,21.610079540385485,4.0,"(256, 256)",1.0,0.13193102590982345,0.30081176697146345,0.277354895035279,0.37407432688742664,t1
198.0,case01015,15.294431526582217,13.304032056358002,14.36657722538129,13.912106145596494,2.0,"(256, 256)",1.0,0.3134031784846669,0.1594358445874922,0.2025752430760991,0.1775272657386919,t1
198.0,case01015,14.500249145605595,19.40264919561303,19.866870555052863,19.008161849041333,4.0,"(256, 256)",1.0,0.13193102590982345,0.31583504854438993,0.35103313183790497,0.29699041480994126,t1
216.0,case01015,15.294431526582217,13.1785491782503,13.884374645100742,13.661447702803633,2.0,"(256, 256)",1.0,0.3134031784846669,0.20501725590765082,0.22527344363359858,0.21715486061427633,t1
216.0,case01015,14.500249145605595,14.784977329452131,15.046289263581258,14.476550520951532,4.0,"(256, 256)",1.0,0.13193102590982345,0.25654407572818855,0.2707268613879858,0.2464799208680925,t1
234.0,case01015,15.294431526582217,13.487653927066551,13.797074965528513,12.88836922542017,2.0,"(256, 256)",1.0,0.3134031784846669,0.20903492550916014,0.2167187208588088,0.1989893983850342,t1
234.0,case01015,14.500249145605595,13.438086554414713,13.653730576648773,13.208171304626307,4.0,"(256, 256)",1.0,0.13193102590982345,0.2354454408257292,0.245688554002951,0.22788117613052805,t1
252.0,case01015,15.294431526582217,11.995003643079247,13.43400771751687,12.633048914636024,2.0,"(256, 256)",1.0,0.3134031784846669,0.14156168334006355,0.16200368464290388,0.14874046854120254,t1
252.0,case01015,14.500249145605595,16.39439315843707,16.772532045658963,16.14900885605958,4.0,"(256, 256)",1.0,0.13193102590982345,0.24335710722681297,0.26411952936498695,0.2313562346958199,t1
270.0,case01015,15.294431526582217,13.524946150836099,13.366872392905698,13.479251207445246,2.0,"(256, 256)",1.0,0.3134031784846669,0.0790804414015786,0.07619349716865571,0.07931180436503149,t1
